hindi,english
बलगम,sputum
बलगम में,in the sputum
सीने,chest
सीने में,in the chest
सीना,chest
खाँसी,cough
खासी,cough
खांसी,cough
बुखार,fever
दर्द,pain
दर्ध,pain
सांस,breath
साँस,breath
सांस में,in the breath
दिल,heart
फेफड़े,lungs
फेफड़ा,lung
खून,blood
खून में,in the blood
जाँच,examination
जांच,examination
दवाई,medication
दवा,medicine
इलाज,treatment
मरीज़,patient
मरीज,patient
डॉक्टर,doctor
हफ्ते,weeks
हफ्ता,week
महीने,months
महीना,month
पड़ोसी,neighbor
संपर्क,contact
उल्टी,vomiting
दस्त,diarrhea
फूट पॉइस्निंग,food poisoning
फूड पॉइज़निंग,food poisoning
फूड पॉइजनिंग,food poisoning
पॉइस्निंग,poisoning
पॉइज़निंग,poisoning
ओरस,ORS
ओआरएस,ORS
इंजेक्शन,injection
ऑपरेशन,operation
आईसीयू,ICU
ईसीजी,ECG
ईकेजी,ECG
एमआरआई,MRI
सीटी स्कैन,CT scan
अल्ट्रासाउंड,ultrasound
एक्सरे,X-ray
बीपी,blood pressure
शुगर,blood sugar
मतली,nausea
चक्कर,dizziness
थकान,fatigue
कमज़ोरी,weakness
कमजोरी,weakness
पसीना,sweating
पेट,stomach
पेट में,in the stomach
सिरदर्द,headache
गला,throat
गले में,in the throat
नाक,nose
कान,ear
आँख,eye
आंख,eye
त्वचा,skin
हड्डी,bone
जोड़,joint
मांसपेशी,muscle
नस,nerve
रक्तचाप,blood pressure
मधुमेह,diabetes
दमा,asthma
एलर्जी,allergy
संक्रमण,infection
सूजन,swelling
घाव,wound
दौरा,seizure
लकवा,paralysis
